epoch,loss,val_loss
233,28090.46875,32099.50390625
234,27453.564453125,32076.048828125
235,27714.337890625,32164.7578125
236,27881.98828125,31886.8046875
237,27582.845703125,32405.181640625
238,27829.234375,31916.1640625
239,27717.416015625,31861.314453125
240,27707.142578125,31850.103515625
241,27648.857421875,31851.423828125
242,27717.703125,31945.19140625
243,27398.87890625,32087.541015625
244,27585.65234375,33212.79296875
245,27454.63671875,33131.59375
246,27362.921875,32003.904296875
247,27558.59765625,32079.541015625
248,27134.26171875,31806.25
249,27609.509765625,32268.154296875
250,27142.888671875,31851.75
251,27181.1171875,31593.8828125
252,27345.634765625,31607.328125
253,27260.734375,32162.7734375
254,27559.923828125,31530.80078125
255,27137.73046875,31836.0
256,27249.501953125,32359.890625
257,27072.625,31549.982421875
258,27176.873046875,31464.353515625
259,27081.19921875,31853.53515625
260,26925.69921875,31531.1875
261,27296.357421875,31433.396484375
262,27073.6640625,31963.619140625
263,27323.95703125,31405.212890625
264,26848.083984375,31734.91796875
265,26983.990234375,31319.017578125
266,27088.3046875,31375.708984375
267,26753.3359375,31179.83984375
268,26770.556640625,31190.25390625
269,26669.693359375,32065.33203125
270,26459.533203125,31357.46875
271,26475.287109375,31433.83984375
272,26673.236328125,31768.69921875
273,26454.19140625,31243.326171875
274,26368.080078125,32131.408203125
275,26643.4453125,31258.41796875
276,26579.986328125,30851.6640625
277,26496.537109375,31258.02734375
278,26422.009765625,31732.880859375
279,26469.44921875,31134.19921875
280,26329.3671875,31115.654296875
281,26589.607421875,31223.814453125
282,26268.09765625,31701.576171875
283,26250.12109375,30569.103515625
284,26518.5546875,31234.462890625
285,26353.072265625,31223.462890625
286,26234.830078125,31269.0546875
287,26231.6015625,30690.8046875
288,25926.98828125,31671.8359375
289,26261.228515625,30613.626953125
290,26151.6796875,30369.314453125
291,25694.107421875,30494.962890625
292,25463.76171875,30712.08984375
293,25918.390625,30420.13671875
294,25610.138671875,32093.83984375
295,25608.353515625,31871.521484375
296,26000.580078125,30734.3125
297,25598.015625,31299.9921875
298,25924.962890625,31336.771484375
299,25907.435546875,30663.767578125
300,25789.376953125,31839.759765625
301,26008.177734375,30393.041015625
302,25010.8125,30695.041015625
303,25745.193359375,30178.900390625
304,25475.890625,30097.52734375
305,25703.67578125,30418.548828125
306,25684.169921875,29963.1328125
307,25623.736328125,30073.771484375
308,25644.55078125,29911.6171875
309,25509.607421875,29900.08984375
310,25171.53515625,30133.380859375
311,25670.8203125,30695.517578125
312,25482.3984375,30889.041015625
